"Product title","Product variant title","Product variant SKU","Week","Ending inventory units","Inventory units sold"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","Large","75028","2026-05-04",61,0
"Finley Romper in Deep Teal","Deep Teal / 6-9 Months","10211","2026-05-04",18,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","2XL","75030","2026-05-04",45,1
"Lila Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Slim Petite","10023","2026-05-04",40,11
"Baby Swaddle Set: Vintage Floral","Hat & Bow",,"2026-05-04",-2,14
"Finley Romper in Midnight Blue","Midnight Blue / Newborn","940216","2026-05-04",-3,0
"Finley Romper in Black","Black / 3-6 Months","10198","2026-05-04",60,0
"Lila Labor & Postpartum Gown in Plum","Plum / Standard","10103","2026-05-04",17,70
"The Cameron Unisex Nursing and Skin to Skin Shirt in Emerald","Medium","66944","2026-05-04",45,1
"Lila Labor & Postpartum Gown in Periwinkle Blue","Periwinkle / Curve","101201","2026-05-04",35,5
"Lila Labor & Postpartum Gown in Deep Teal","Deep Teal / Standard","10091","2026-05-04",248,62
"Robes in Deep Teal","Mia Robe / Short","10196","2026-05-04",39,6
"Finley Romper in Vintage Floral","Vintage Floral / Newborn","10216","2026-05-04",118,2
"Amelia Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Petite",,"2026-05-04",20,0
"Amelia Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Curve","12237","2026-05-04",41,3
"Lila Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Full Figure","10101","2026-05-04",0,11
"Lila Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Curve","10266","2026-05-04",1,0
"Finley Romper in Dusty Rose","Dusty Rose / 9-12 Months","94224","2026-05-04",27,0
"Lila Labor & Postpartum Gown in Periwinkle Blue","Periwinkle / Slim Petite","20121","2026-05-04",32,20
"Robes in Sage","Laura Robe / Long","10170","2026-05-04",34,4
"Lila Labor & Postpartum Gown in Lilac","Lilac / Slim Petite","20004","2026-05-04",21,3
"Robes in Vintage Floral","Mia Robe / Short","10194","2026-05-04",-2,2
"Lila Labor & Postpartum Gown in Emerald","Emerald / Petite","10099","2026-05-04",-2,5
"Amelia Labor & Postpartum Gown in Black","Black / Petite","10224","2026-05-04",16,5
"The Cameron Unisex Nursing and Skin to Skin Shirt in Black","Medium","75009","2026-05-04",21,2
"Finley Romper in Sage","Sage / 6-9 Months","94232","2026-05-04",15,1
"Finley Romper in Periwinkle","Periwinkle / 3-6 Months",,"2026-05-04",29,0
"Baby Swaddle Set: Dusty Rose","Hat & Bow","10025","2026-05-04",15,16
"Amelia Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Slim Petite","0","2026-05-04",45,2
"Amelia Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Petite",,"2026-05-04",3,2
"Lila Labor & Postpartum Gown in Periwinkle Blue","Periwinkle / Full Figure","10110","2026-05-04",29,27
"Amelia Labor & Postpartum Gown in Plum","Plum / Full Figure","10232","2026-05-04",8,7
"Lila Labor & Postpartum Gown in Emerald","Emerald / Curve","10264","2026-05-04",22,3
"Finley Romper in Deep Teal","Deep Teal / 12-16 Months","10213","2026-05-04",64,0
"Finley Romper in Deep Teal","Deep Teal / Newborn","10209","2026-05-04",132,7
"Finley Romper in Dusty Rose","Dusty Rose / Newborn","94224","2026-05-04",27,2
"Amelia Labor & Postpartum Gown in Black","Black / Full Figure","10223","2026-05-04",7,9
"The Cameron Unisex Nursing and Skin to Skin Shirt in Deep Teal","Extra Large","75003","2026-05-04",66,5
"Lila Labor & Postpartum Gown in Lilac","Lilac / Curve","20011","2026-05-04",22,2
"Robes in Emerald","Laura Robe / Long","10162","2026-05-04",10,11
"Finley Romper in Emerald","Emerald / 6-9 Months","94223","2026-05-04",18,0
"Amelia Labor & Postpartum Gown in Periwinkle","Periwinkle / Standard","45210","2026-05-04",6,12
"Amelia Labor & Postpartum Gown in Sage","Sage / Petite","10227","2026-05-04",42,2
"Amelia Labor & Postpartum Gown in Periwinkle","Periwinkle / Full Figure","45212","2026-05-04",17,4
"Amelia Labor & Postpartum Gown in Sage","Sage / Curve","10273","2026-05-04",25,0
"Finley Romper in Deep Teal","Deep Teal / 9-12 Months","10212","2026-05-04",64,0
"Lila Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Slim Petite",,"2026-05-04",0,3
"Lila Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Standard","940210","2026-05-04",71,96
"Lila Labor & Postpartum Gown in Deep Teal","Deep Teal / Full Figure","10092","2026-05-04",45,10
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","Extra Large","75019","2026-05-04",14,2
"Finley Romper in Sage","Sage / Newborn","94230","2026-05-04",-2,0
"Robes in Lilac","Mia Robe / Short","29711","2026-05-04",18,2
"Finley Romper in Deep Teal","Deep Teal / 16-24 Months","10215","2026-05-04",63,0
"Robes in Vintage Floral","Laura Robe / Long","10174","2026-05-04",-1,0
"Amelia Labor & Postpartum Gown in Periwinkle","Periwinkle / Curve","45213","2026-05-04",18,1
"Lila Labor & Postpartum Gown in Plum","Plum / Curve","10262","2026-05-04",25,2
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","Small","75004","2026-05-04",59,0
"Lila Labor & Postpartum Gown in Sage","Sage / Curve","10263","2026-05-04",60,7
"Amelia Labor & Postpartum Gown Lilac","Petite","28704","2026-05-04",19,0
"Finley Romper in Periwinkle","Periwinkle / 18-24 Months",,"2026-05-04",19,0
"Finley Romper in Sage","Sage / 3-6 Months","94231","2026-05-04",0,0
"Lila Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Slim Petite","20117","2026-05-04",62,29
"Lila Labor & Postpartum Gown in Deep Teal","Deep Teal / Slim Petite","20114","2026-05-11",0,1
"Lila Labor & Postpartum Gown in Emerald","Emerald / Full Figure","10098","2026-05-11",41,6
"The Cameron Unisex Nursing and Skin to Skin Shirt in Black","Extra Large","75011","2026-05-11",32,3
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","Large","75018","2026-05-11",8,5
"Amelia Labor & Postpartum Gown Lilac","Full Figure","29706","2026-05-11",12,3
"Lila Labor & Postpartum Gown in Emerald","Emerald / Curve","10264","2026-05-11",21,1
"Lila Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Slim Petite","20117","2026-05-11",-7,1
"Robes in Vintage Floral","Mia Robe / Short","10194","2026-05-11",-1,1
"Lila Labor & Postpartum Gown in Emerald","Emerald / Petite","10099","2026-05-11",-2,0
"Amelia Labor & Postpartum Gown Lilac","Curve","29707","2026-05-11",20,2
"Amelia Labor & Postpartum Gown in Black","Black / Full Figure","10223","2026-05-11",3,3
"Baby Swaddle Set: Vintage Floral","Hat & Bow",,"2026-05-11",49,12
"Robes in Periwinkle","Mia Robe / Short","10192","2026-05-11",-1,1
"Finley Romper in Periwinkle","Periwinkle / 12-18 Months",,"2026-05-11",19,0
"Finley Romper in Vintage Floral","Vintage Floral / 6-9 Months","10218","2026-05-11",6,0
"Lila Labor & Postpartum Gown in Deep Teal","Deep Teal / Curve","10261","2026-05-11",143,5
"Amelia Labor & Postpartum Gown Lilac","Slim Petite","11307","2026-05-11",49,0
"Finley Romper in Plum","Plum / 6-9 Months","31116","2026-05-11",112,0
"Robes in Periwinkle","Laura Robe / Long","10172","2026-05-11",26,1
"Robes in Deep Teal","Laura Robe / Long","10175","2026-05-11",-7,1
"Lila Labor & Postpartum Gown in Lilac","Lilac / Slim Petite","20004","2026-05-11",17,4
"Finley Romper in Emerald","Emerald / 9-12 Months",,"2026-05-11",82,0
"Robes in Emerald","Mia Robe / Short","10182","2026-05-11",14,2
"Lila Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Standard","10094","2026-05-11",-1,7
"Lila Labor & Postpartum Gown in Plum","Plum / Curve","10262","2026-05-11",21,4
"Finley Romper in Emerald","Emerald / Newborn","94221","2026-05-11",-5,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","Small","75016","2026-05-11",42,2
"Amelia Labor & Postpartum Gown in Emerald","Emerald / Curve","10274","2026-05-11",33,0
"Lila Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Standard","940210","2026-05-11",-31,104
"Lila Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Slim Petite",,"2026-05-11",0,0
"Finley Romper in Deep Teal","Deep Teal / 9-12 Months","10212","2026-05-11",64,0
"Lila Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Curve","10266","2026-05-11",1,6
"Lila Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Full Figure","10101","2026-05-11",0,11
"Baby Swaddle Set: Plum","Hat",,"2026-05-11",10,13
"Lila Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Curve","10265","2026-05-11",-1,16
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","Extra Large","75019","2026-05-11",12,2
"Lila Labor & Postpartum Gown in Deep Teal","Deep Teal / Full Figure","10092","2026-05-11",41,4
"Finley Romper in Dusty Rose","Dusty Rose / 3-6 Months","24225","2026-05-11",99,0
"Finley Romper in Black","Black / 6-9 Months","10199","2026-05-11",3,0
"Baby Swaddle Set: Midnight Blue","Hat & Bow",,"2026-05-11",-2,8
"Robes in Plum","Mia Robe / Short","10186","2026-05-11",12,2
"Lila Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Curve","942229","2026-05-11",0,0
"Lila Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Curve","107780","2026-05-11",11,4
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","Large","75028","2026-05-11",60,1
"Finley Romper in Deep Teal","Deep Teal / 6-9 Months","10211","2026-05-11",18,0
"Baby Swaddle Set: Lilac","Hat & Bow",,"2026-05-11",146,0
"Amelia Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Petite",,"2026-05-11",2,1
"Lila Labor & Postpartum Gown in Sage","Sage / Curve","10263","2026-05-11",56,4
"Finley Romper in Midnight Blue","Midnight Blue / 6-9 Months","940218","2026-05-11",23,0
"Amelia Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Standard","12234","2026-05-11",12,3
"Amelia Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Curve","17003","2026-05-11",19,1
"The Cameron Unisex Nursing and Skin to Skin Shirt in Deep Teal","2XL","75022","2026-05-11",45,2
"Amelia Labor & Postpartum Gown in Periwinkle","Periwinkle / Curve","45213","2026-05-11",16,3
"Lila Labor & Postpartum Gown in Black","Black / Curve","10260","2026-05-11",21,18
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","2XL","75023","2026-05-11",6,2
"Amelia Labor & Postpartum Gown Lilac","Standard","29705","2026-05-11",17,2
"Finley Romper in Dusty Rose","Dusty Rose / 9-12 Months","94224","2026-05-11",27,0
"Finley Romper in Periwinkle","Periwinkle / 9-12 Months",,"2026-05-11",20,0
"Finley Romper in Vintage Floral","Vintage Floral / 12-18 Months","10220","2026-05-11",11,0
"Baby Swaddle Set: Sage","Hat & Bow","94562","2026-05-11",-8,0
"Lila Labor & Postpartum Gown in Lilac","Lilac / Curve","20011","2026-05-11",19,3
"The Cameron Unisex Nursing and Skin to Skin Shirt in Black","Small","75008","2026-05-11",19,1
"Finley Romper in Black","Black / 18-24 Months","10202","2026-05-11",83,0
"Lila Labor & Postpartum Gown in Sage","Sage / Slim Petite",,"2026-05-11",40,6
"Finley Romper in Sage","Sage / 6-9 Months","94232","2026-05-11",15,0
"Finley Romper in Vintage Floral","Vintage Floral / Newborn","10216","2026-05-11",115,3
"Finley Romper in Midnight Blue","Midnight Blue / Newborn","940216","2026-05-11",-3,0
"Lila Labor & Postpartum Gown in Lilac","Lilac / Standard","20005","2026-05-11",67,18
"Lila Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Full Figure","940209","2026-05-11",-12,13
"Lila Labor & Postpartum Gown in Plum","Plum / Full Figure","10104","2026-05-11",72,16
"Robes in Plum","Laura Robe / Long","10166","2026-05-11",-1,0
"Lila Labor & Postpartum Gown in Plum","Plum / Slim Petite","20119","2026-05-11",0,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Emerald","Small","66943","2026-05-11",38,0
"Lila Labor & Postpartum Gown in Black","Black / Standard","10156","2026-05-11",304,105
"Amelia Labor & Postpartum Gown in Periwinkle","Periwinkle / Slim Petite",,"2026-05-11",7,0
"Lila Labor & Postpartum Gown in Emerald","Emerald / Standard","10097","2026-05-11",-3,12
"Finley Romper in Dusty Rose","Dusty Rose / 6-9 Months","24226","2026-05-11",31,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Black","2XL","75021","2026-05-11",11,1
"Baby Swaddle Set: Deep Teal","Hat & Bow","10024","2026-05-11",0,13
"Finley Romper in Periwinkle","Periwinkle / 3-6 Months",,"2026-05-11",28,1
"Amelia Labor & Postpartum Gown in Black","Black / Curve","10270","2026-05-11",25,1
"Lila Labor & Postpartum Gown in Lilac","Lilac / Full Figure","20006","2026-05-11",1,1
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","Large","75006","2026-05-11",12,1
"Amelia Labor & Postpartum Gown in Sage","Sage / Petite","10227","2026-05-11",42,0
"Amelia Labor & Postpartum Gown in Deep Teal","Deep Teal / Slim Petite","113011","2026-05-11",44,2
"The Cameron Unisex Nursing and Skin to Skin Shirt in Deep Teal","Extra Large","75003","2026-05-11",63,3
"Finley Romper in Black","Black / 3-6 Months","10198","2026-05-11",59,1
"Robes in Midnight Blue","Laura Robe / Long","10904","2026-05-11",61,4
"Lila Labor & Postpartum Gown in Periwinkle Blue","Periwinkle / Standard","10109","2026-05-11",42,27
"Amelia Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Full Figure","45102","2026-05-11",1,0
"Lila Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Standard","107778","2026-05-11",1,0
"Robes in Sage","Mia Robe / Short","10190","2026-05-11",30,3
"Amelia Labor & Postpartum Gown in Black","Black / Slim Petite","11300","2026-05-11",39,3
"Finley Romper in Periwinkle","Periwinkle / 18-24 Months",,"2026-05-11",19,0
"Finley Romper in Emerald","Emerald / 6-9 Months","94223","2026-05-11",18,0
"Amelia Labor & Postpartum Gown in Periwinkle","Periwinkle / Standard","45210","2026-05-11",4,2
"Lila Labor & Postpartum Gown in Emerald","Emerald / Slim Petite",,"2026-05-11",-7,0
"Finley Romper in Periwinkle","Periwinkle / 6-9 Months",,"2026-05-11",44,0
"Finley Romper in Deep Teal","Deep Teal / Newborn","10209","2026-05-11",126,6
"Finley Romper in Dusty Rose","Dusty Rose / Newborn","94224","2026-05-11",27,0
"Finley Romper in Deep Teal","Deep Teal / 12-16 Months","10213","2026-05-11",64,0
"Lila Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Slim Petite","10023","2026-05-11",-1,5
"Lila Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Full Figure","10095","2026-05-11",17,15
"Finley Romper in Lilac","Lilac / 6-9 Months","94235","2026-05-11",18,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Emerald","Extra Large","66946","2026-05-11",44,0
"Amelia Labor & Postpartum Gown in Black","Black / Standard","10222","2026-05-11",-1,1
"Amelia Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Full Figure","17002","2026-05-11",8,0
"Finley Romper in Vintage Floral","Vintage Floral / 9-12 Months","10219","2026-05-11",5,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Emerald","Medium","66944","2026-05-11",45,0
"Finley Romper in Midnight Blue","Midnight Blue / 9-12 Months","940219","2026-05-11",31,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","Medium","75017","2026-05-11",18,4
"Lila Labor & Postpartum Gown in Sage","Sage / Full Figure","10107","2026-05-11",4,3
"Robes in Dusty Rose","Laura Robe / Long","10164","2026-05-11",9,2
"The Cameron Unisex Nursing and Skin to Skin Shirt in Emerald","Large","66945","2026-05-11",28,1
"Amelia Labor & Postpartum Gown in Plum","Plum / Standard","10231","2026-05-11",8,13
"Lila Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Petite",,"2026-05-11",2,6
"Lila Labor & Postpartum Gown in Periwinkle Blue","Periwinkle / Curve","101201","2026-05-11",31,4
"Lila Labor & Postpartum Gown in Deep Teal","Deep Teal / Standard","10091","2026-05-11",208,44
"Robes in Deep Teal","Mia Robe / Short","10196","2026-05-11",33,6
"Baby Swaddle Set: Periwinkle","Hat & Bow",,"2026-05-11",-1,10
"Robes in Sage","Laura Robe / Long","10170","2026-05-11",30,4
"Amelia Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Slim Petite","0","2026-05-11",44,1
"Baby Swaddle Set: Dusty Rose","Hat & Bow","10025","2026-05-11",0,15
"Finley Romper in Midnight Blue","Midnight Blue / 3-6 Months","940217","2026-05-11",-2,0
"Finley Romper in Periwinkle","Periwinkle / Newborn",,"2026-05-11",-1,0
"Amelia Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Curve","10275","2026-05-11",4,3
"Finley Romper in Emerald","Emerald / 3-6 Months","94222","2026-05-11",72,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","Medium","75027","2026-05-11",41,0
"Lila Labor & Postpartum Gown in Black","Black / Slim Petite","10303","2026-05-11",0,18
"Finley Romper in Plum","Plum / Newborn","31114","2026-05-11",69,2
"Amelia Labor & Postpartum Gown in Plum","Plum / Slim Petite","10233","2026-05-11",29,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Black","Medium","75009","2026-05-11",20,2
"Amelia Labor & Postpartum Gown in Black","Black / Petite","10224","2026-05-11",16,0
"Finley Romper in Midnight Blue","Midnight Blue / 12-16 Months","940220","2026-05-11",20,0
"Finley Romper in Vintage Floral","Vintage Floral / 3-6 Months","10217","2026-05-11",11,0
"Finley Romper in Deep Teal","Deep Teal / 3-6 Months","10210","2026-05-11",0,0
"Robes in Vintage Floral","Laura Robe / Long","10174","2026-05-11",-1,0
"Amelia Labor & Postpartum Gown in Deep Teal","Deep Teal / Standard","10073","2026-05-11",6,5
"Finley Romper in Sage","Sage / 3-6 Months","94231","2026-05-11",7,0
"Amelia Labor & Postpartum Gown in Deep Teal","Deep Teal / Curve","10271","2026-05-11",32,1
"Robes in Midnight Blue","Mia Robe / Short",,"2026-05-11",76,2
"Robes in Black","Mia Robe / Short","10188","2026-05-11",36,6
"Finley Romper in Emerald","Emerald / 18-24 Months",,"2026-05-11",3,0
"Robes in Lilac","Laura Robe / Long","29709","2026-05-11",22,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","Medium","75005","2026-05-11",41,3
"Amelia Labor & Postpartum Gown in Emerald","Emerald / Petite","10230","2026-05-11",66,0
"Finley Romper in Midnight Blue","Midnight Blue / 16-24 Months","940221","2026-05-11",25,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","2XL","75024","2026-05-11",8,5
"Finley Romper in Vintage Floral","Vintage Floral / 18-24 Months","10221","2026-05-11",15,0
"Amelia Labor & Postpartum Gown in Plum","Plum / Curve","10272","2026-05-11",24,5
"Amelia Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Standard","17001","2026-05-11",0,0
"Amelia Labor & Postpartum Gown in Deep Teal","Deep Teal / Full Figure","10074","2026-05-11",15,4
"Finley Romper in Sage","Sage / Newborn","94230","2026-05-11",5,3
"Amelia Labor & Postpartum Gown in Plum","Plum / Full Figure","10232","2026-05-11",4,4
"The Cameron Unisex Nursing and Skin to Skin Shirt in Deep Teal","Medium","75001","2026-05-11",27,2
"Amelia Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Curve","10276","2026-05-11",12,6
"Baby Swaddle Set: Black","Hat & Bow","10123","2026-05-11",121,1
"Lila Labor & Postpartum Gown in Periwinkle Blue","Periwinkle / Slim Petite","20121","2026-05-11",18,14
"Finley Romper in Black","Black / 12-18 Months","10201","2026-05-11",40,0
"Baby Swaddle Set: Emerald","Hat & Bow",,"2026-05-11",-1,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","Small","75026","2026-05-11",36,1
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","Extra Large","75007","2026-05-11",0,0
"Amelia Labor & Postpartum Gown in Emerald","Emerald / Full Figure","10229","2026-05-11",44,1
"TENS Unit for Labor","Default Title","20202","2026-05-11",667,93
"Amelia Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Petite",,"2026-05-11",41,0
"Finley Romper in Deep Teal","Deep Teal / 16-24 Months","10215","2026-05-11",63,0
"Robes in Lilac","Mia Robe / Short","29711","2026-05-11",18,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Deep Teal","Large","75002","2026-05-11",61,1
"Lila Labor & Postpartum Gown in Plum","Plum / Standard","10103","2026-05-11",-1,21
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","2XL","75030","2026-05-11",45,0
"Finley Romper in Lilac","Lilac / 3-6 Months","94234","2026-05-11",31,0
"Finley Romper in Plum","Plum / 3-6 Months","31115","2026-05-11",-1,0
"Amelia Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Standard","45101","2026-05-11",-20,17
"The Cameron Unisex Nursing and Skin to Skin Shirt in Deep Teal","Small","75000","2026-05-11",59,0
"Amelia Labor & Postpartum Gown in Sage","Sage / Standard","10225","2026-05-11",68,2
"Amelia Labor & Postpartum Gown in Sage","Sage / Full Figure","10226","2026-05-11",42,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Black","Large","75010","2026-05-11",26,3
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","Small","75004","2026-05-11",58,1
"Amelia Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Curve","12237","2026-05-11",40,1
"Amelia Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Full Figure","12235","2026-05-11",13,2
"Robes in Emerald","Laura Robe / Long","10162","2026-05-11",8,2
"Lila Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Standard","10100","2026-05-11",-2,0
"Lila Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Full Figure","107779","2026-05-11",-2,1
"The Cameron Unisex Nursing and Skin to Skin Shirt in Emerald","2XL","66947","2026-05-11",46,0
"Robes in Black","Laura Robe / Long","10168","2026-05-11",-13,0
"Lila Labor & Postpartum Gown in Black","Black / Full Figure","10112","2026-05-11",181,40
"Amelia Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Standard","62000","2026-05-11",7,6
"Amelia Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Full Figure","62001","2026-05-11",14,4
"Amelia Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Slim Petite","11302","2026-05-11",5,6
"Amelia Labor & Postpartum Gown in Emerald","Emerald / Standard","10228","2026-05-11",86,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","Extra Large","75029","2026-05-11",49,2
"Robes in Dusty Rose","Mia Robe / Short","10184","2026-05-11",18,0
"Lila Labor & Postpartum Gown in Sage","Sage / Standard","10106","2026-05-11",40,48
"Finley Romper in Lilac","Lilac / Newborn","94233","2026-05-11",17,0
"Amelia Labor & Postpartum Gown in Sage","Sage / Curve","10273","2026-05-11",25,0
"Amelia Labor & Postpartum Gown in Periwinkle","Periwinkle / Full Figure","45212","2026-05-11",16,1
"Finley Romper in Black","Black / 9-12 Months","10200","2026-05-11",60,0
"Lila Labor & Postpartum Gown in Sage","Sage / Petite",,"2026-05-11",0,0
"Lila Labor & Postpartum Gown in Periwinkle Blue","Periwinkle / Full Figure","10110","2026-05-11",10,22
"Finley Romper in Black","Black / Newborn","10197","2026-05-11",91,3
"Finley Romper in Midnight Blue","Midnight Blue / 16-24 Months","940221","2026-05-18",25,0
"Amelia Labor & Postpartum Gown in Plum","Plum / Standard","10231","2026-05-18",52,9
"Finley Romper in Periwinkle","Periwinkle / Newborn",,"2026-05-18",-1,0
"Robes in Midnight Blue","Laura Robe / Long","10904","2026-05-18",59,2
"Finley Romper in Midnight Blue","Midnight Blue / Newborn","940216","2026-05-18",-3,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Black","2XL","75021","2026-05-18",5,6
"Baby Swaddle Set: Deep Teal","Hat & Bow","10024","2026-05-18",45,5
"Lila Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Full Figure","940209","2026-05-18",116,26
"Lila Labor & Postpartum Gown in Lilac","Lilac / Standard","20005","2026-05-18",185,16
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","Extra Large","75007","2026-05-18",0,0
"Baby Swaddle Set: Emerald","Hat & Bow",,"2026-05-18",0,2
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","Small","75026","2026-05-18",36,0
"Finley Romper in Sage","Sage / 6-9 Months","94232","2026-05-18",15,0
"Amelia Labor & Postpartum Gown in Deep Teal","Deep Teal / Slim Petite","113011","2026-05-18",41,3
"Robes in Dusty Rose","Mia Robe / Short","10184","2026-05-18",15,3
"Finley Romper in Emerald","Emerald / 3-6 Months","94222","2026-05-18",71,1
"Amelia Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Curve","10275","2026-05-18",1,4
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","Medium","75027","2026-05-18",40,1
"Lila Labor & Postpartum Gown in Black","Black / Slim Petite","10303","2026-05-18",261,4
"Lila Labor & Postpartum Gown in Plum","Plum / Full Figure","10104","2026-05-18",65,7
"Robes in Plum","Laura Robe / Long","10166","2026-05-18",17,3
"Amelia Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Slim Petite","0","2026-05-18",44,1
"Baby Swaddle Set: Dusty Rose","Hat & Bow","10025","2026-05-18",-1,1
"Lila Labor & Postpartum Gown in Periwinkle Blue","Periwinkle / Curve","101201","2026-05-18",79,2
"Lila Labor & Postpartum Gown in Deep Teal","Deep Teal / Standard","10091","2026-05-18",260,38
"Robes in Deep Teal","Mia Robe / Short","10196","2026-05-18",33,0
"Amelia Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Standard","45101","2026-05-18",-30,10
"Finley Romper in Plum","Plum / 3-6 Months","31115","2026-05-18",-1,0
"Lila Labor & Postpartum Gown in Sage","Sage / Curve","10263","2026-05-18",79,1
"Finley Romper in Emerald","Emerald / 18-24 Months",,"2026-05-18",3,0
"Robes in Midnight Blue","Mia Robe / Short",,"2026-05-18",75,1
"Robes in Black","Mia Robe / Short","10188","2026-05-18",-1,8
"The Cameron Unisex Nursing and Skin to Skin Shirt in Emerald","Large","66945","2026-05-18",27,1
"Finley Romper in Vintage Floral","Vintage Floral / 18-24 Months","10221","2026-05-18",15,0
"Finley Romper in Periwinkle","Periwinkle / 3-6 Months",,"2026-05-18",28,0
"Finley Romper in Lilac","Lilac / 6-9 Months","94235","2026-05-18",18,0
"Amelia Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Full Figure","12235","2026-05-18",10,3
"Amelia Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Full Figure","17002","2026-05-18",7,1
"The Cameron Unisex Nursing and Skin to Skin Shirt in Emerald","Small","66943","2026-05-18",38,0
"Lila Labor & Postpartum Gown in Plum","Plum / Slim Petite","20119","2026-05-18",50,7
"Lila Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Slim Petite","10023","2026-05-18",61,2
"Robes in Periwinkle","Mia Robe / Short","10192","2026-05-18",-1,0
"Amelia Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Full Figure","62001","2026-05-18",12,2
"Robes in Periwinkle","Laura Robe / Long","10172","2026-05-18",77,7
"Finley Romper in Emerald","Emerald / 9-12 Months",,"2026-05-18",82,0
"Robes in Emerald","Mia Robe / Short","10182","2026-05-18",9,5
